epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,18850.5,1.1786,0.80821,1.15798,0.8137,0.75523,0.82047,0.50797,1.16468,0.97435,1.10892,0.00275129,0.00275129,0.00275129
161,18968.6,1.17561,0.80199,1.15518,0.81371,0.75624,0.82108,0.50809,1.16475,0.97373,1.10934,0.00273714,0.00273714,0.00273714
162,19086.5,1.17558,0.8106,1.15945,0.81434,0.75743,0.82128,0.50788,1.16465,0.97144,1.10936,0.002723,0.002723,0.002723
163,19204.4,1.16581,0.8018,1.14951,0.8146,0.75796,0.82132,0.50784,1.1649,0.96984,1.10968,0.00270886,0.00270886,0.00270886
164,19321.9,1.17922,0.80113,1.15534,0.81398,0.75864,0.82127,0.50795,1.1648,0.96714,1.10954,0.00269471,0.00269471,0.00269471
165,19440.3,1.16877,0.79243,1.15529,0.81557,0.75833,0.82102,0.5078,1.16487,0.96488,1.10981,0.00268057,0.00268057,0.00268057
166,19558.3,1.17118,0.80589,1.15399,0.81537,0.75809,0.82107,0.50791,1.16511,0.96261,1.11015,0.00266643,0.00266643,0.00266643
167,19676,1.16445,0.7944,1.15394,0.81714,0.75792,0.82167,0.50812,1.16477,0.96152,1.11043,0.00265229,0.00265229,0.00265229
168,19793.9,1.16516,0.79466,1.14762,0.81721,0.75785,0.82103,0.50821,1.16473,0.95958,1.11035,0.00263814,0.00263814,0.00263814
169,19911.5,1.16925,0.79662,1.1526,0.82024,0.75577,0.82109,0.50802,1.16493,0.95763,1.11012,0.002624,0.002624,0.002624
170,20029.1,1.16249,0.78768,1.14834,0.82262,0.75764,0.8227,0.50813,1.16506,0.9549,1.11031,0.00260986,0.00260986,0.00260986
171,20147.2,1.15578,0.78804,1.14715,0.82105,0.759,0.82252,0.50839,1.16506,0.95226,1.11019,0.00259571,0.00259571,0.00259571
172,20264.5,1.15293,0.78402,1.14464,0.81865,0.75995,0.82233,0.50837,1.16488,0.95103,1.11044,0.00258157,0.00258157,0.00258157
173,20381.5,1.16241,0.78395,1.14541,0.81798,0.7609,0.82187,0.50828,1.16489,0.94999,1.11033,0.00256743,0.00256743,0.00256743
174,20498.1,1.15999,0.78751,1.14751,0.8171,0.76078,0.82192,0.50823,1.16498,0.94674,1.11044,0.00255329,0.00255329,0.00255329
175,20614.6,1.15841,0.78212,1.14499,0.81676,0.76041,0.82226,0.5083,1.16507,0.9426,1.11056,0.00253914,0.00253914,0.00253914
